,Market Crash (-30%),Severe Crash (-50%),Moderate Drawdown (-15%),Bull Shock (+20%),Volatility Spike
2021-10-01,-0.28568742198064573,-0.48568742198064574,-0.13568742198064573,0.21431257801935427,0.03578144504838565
2021-10-04,-0.31423833326511685,-0.5142383332651169,-0.1642383332651169,0.18576166673488312,-0.03559583316279223
2021-10-05,-0.2872638514333222,-0.48726385143332224,-0.13726385143332223,0.21273614856667777,0.03184037141669441
2021-10-06,-0.2918045703919565,-0.4918045703919565,-0.1418045703919565,0.2081954296080435,0.020488574020108702
2021-10-07,-0.2894427287943894,-0.48944272879438944,-0.13944272879438943,0.21055727120561057,0.02639317801402641
2021-10-08,-0.30167486304462343,-0.5016748630446234,-0.1516748630446234,0.1983251369553766,-0.004187157611558537
2021-10-11,-0.30078743463206836,-0.5007874346320684,-0.1507874346320684,0.1992125653679316,-0.001968586580171003
2021-10-12,-0.3029159513020485,-0.5029159513020486,-0.15291595130204855,0.19708404869795146,-0.007289878255121382
2021-10-13,-0.2942985776108763,-0.49429857761087626,-0.14429857761087628,0.20570142238912373,0.014253555972809293
2021-10-14,-0.28091146265238565,-0.48091146265238566,-0.13091146265238565,0.21908853734761435,0.04772134336903586
2021-10-15,-0.28890233064780657,-0.4889023306478066,-0.13890233064780658,0.21109766935219343,0.027744173380483544
2021-10-18,-0.284218330957191,-0.484218330957191,-0.13421833095719102,0.215781669042809,0.03945417260702244
2021-10-19,-0.29563668539347576,-0.49563668539347583,-0.1456366853934758,0.2043633146065242,0.010908286516310498
2021-10-20,-0.30182791094582695,-0.501827910945827,-0.15182791094582698,0.19817208905417302,-0.0045697773645674705
2021-10-21,-0.2881227899407394,-0.48812278994073943,-0.13812278994073943,0.21187721005926058,0.02969302514815142
2021-10-22,-0.3054996441172386,-0.5054996441172386,-0.15549964411723863,0.19450035588276138,-0.013749110293096584
2021-10-25,-0.26899606793695185,-0.46899606793695187,-0.11899606793695186,0.23100393206304815,0.07750983015762034
2021-10-26,-0.29719882377409196,-0.49719882377409197,-0.14719882377409196,0.20280117622590804,0.007002940564770077
2021-10-27,-0.27339693384169983,-0.4733969338416999,-0.12339693384169986,0.22660306615830014,0.06650766539575033
2021-10-28,-0.2839113299101903,-0.48391132991019026,-0.13391132991019028,0.21608867008980973,0.040221675224524286
2021-10-29,-0.28669271867799967,-0.4866927186779997,-0.13669271867799968,0.21330728132200033,0.0332682033050008
2021-11-01,-0.2894519802192017,-0.48945198021920167,-0.1394519802192017,0.21054801978079832,0.026370049451995767
2021-11-02,-0.29930330633360636,-0.4993033063336063,-0.14930330633360633,0.20069669366639367,0.0017417341659841518
2021-11-03,-0.28637946603084,-0.48637946603084004,-0.13637946603084003,0.21362053396915998,0.03405133492289991
2021-11-04,-0.29251875217341927,-0.49251875217341934,-0.1425187521734193,0.2074812478265807,0.018703119566451723
2021-11-05,-0.30003808869313586,-0.5000380886931359,-0.1500380886931359,0.1999619113068641,-9.522173283975366e-05
2021-11-08,-0.3126114661645159,-0.5126114661645159,-0.1626114661645159,0.1873885338354841,-0.03152866541128979
2021-11-09,-0.33030477778111533,-0.5303047777811153,-0.1803047777811153,0.1696952222188847,-0.07576194445278829
2021-11-10,-0.3021586473925646,-0.5021586473925645,-0.15215864739256457,0.19784135260743543,-0.005396618481411444
2021-11-11,-0.29968394936443343,-0.4996839493644334,-0.1496839493644334,0.2003160506355666,0.0007901265889164594
2021-11-12,-0.29532666564767673,-0.4953266656476768,-0.14532666564767677,0.20467333435232324,0.011683335880808068
2021-11-15,-0.30574167630023663,-0.5057416763002367,-0.15574167630023664,0.19425832369976337,-0.014354190750591606
2021-11-16,-0.2860980548375319,-0.48609805483753193,-0.13609805483753193,0.21390194516246808,0.034754862906170164
2021-11-17,-0.28760592739734986,-0.48760592739734987,-0.13760592739734986,0.21239407260265014,0.030985181506625326
2021-11-18,-0.28682690624313617,-0.4868269062431362,-0.13682690624313618,0.21317309375686383,0.032932734392159546
2021-11-19,-0.28638700252844573,-0.48638700252844574,-0.13638700252844574,0.21361299747155427,0.03403249367888564
2021-11-22,-0.302094004382535,-0.5020940043825349,-0.15209400438253495,0.19790599561746505,-0.0052350109563373964
2021-11-23,-0.3118608829234554,-0.5118608829234554,-0.16186088292345538,0.18813911707654463,-0.029652207308638462
2021-11-24,-0.29750495771640756,-0.49750495771640757,-0.14750495771640756,0.20249504228359244,0.0062376057089810755
2021-11-26,-0.32830792000075865,-0.5283079200007587,-0.17830792000075865,0.17169207999924135,-0.07076980000189664
2021-11-29,-0.2707452262506312,-0.4707452262506312,-0.1207452262506312,0.2292547737493688,0.073136934373422
2021-11-30,-0.3011483979486702,-0.5011483979486702,-0.15114839794867022,0.1988516020513298,-0.002870994871675553
2021-12-01,-0.3135177943122426,-0.5135177943122426,-0.1635177943122426,0.18648220568775742,-0.03379448578060648
2021-12-02,-0.30054336510672397,-0.5005433651067239,-0.15054336510672395,0.19945663489327606,-0.0013584127668098828
